group,sample,ID,avg,relab
B,D1-EV_1,C1,3005,0.282715543
B,D1-EV_1,C15,2735.375,0.257348762
B,D1-EV_1,C16,2357.583333,0.221805475
B,D1-EV_1,C17,2531.1,0.23813022
B,D1-EV_2,C1,4246.666667,0.255211416
B,D1-EV_2,C15,4030.882353,0.242243452
B,D1-EV_2,C16,3878.25,0.233070724
B,D1-EV_2,C17,4484,0.269474409
C,D1-MU_1,C1,4483,0.324912087
C,D1-MU_1,C15,3019.1875,0.218820101
C,D1-MU_1,C16,2896.090909,0.209898493
C,D1-MU_1,C17,3399.3,0.246369319
C,D1-MU_2,C1,4983,0.31839506
C,D1-MU_2,C15,3490.3125,0.223017912
C,D1-MU_2,C16,3728.363636,0.23822849
C,D1-MU_2,C17,3448.692308,0.220358538
C,D1-MU_3,C1,5347,0.319090916
C,D1-MU_3,C15,3394.470588,0.20257055
C,D1-MU_3,C16,3875.909091,0.231301175
C,D1-MU_3,C17,4139.6,0.247037359
B,D2-EV_1,C1,3095.333333,0.199882878
B,D2-EV_1,C15,3882.235294,0.250697511
B,D2-EV_1,C16,4030.666667,0.26028255
B,D2-EV_1,C17,4477.5,0.289137062
B,D2-EV_2,C1,2746,0.225116181
B,D2-EV_2,C15,3253.8125,0.266746483
B,D2-EV_2,C16,2995.583333,0.24557694
B,D2-EV_2,C17,3202.75,0.262560396
C,D2-MU_1,C1,5809,0.2597592
C,D2-MU_1,C15,5041.9375,0.225458711
C,D2-MU_1,C16,5428.181818,0.242730275
C,D2-MU_1,C17,6083.9,0.272051815
C,D2-MU_2,C1,4726.5,0.257544186
C,D2-MU_2,C15,4220.125,0.229952112
C,D2-MU_2,C16,4389.454545,0.239178779
C,D2-MU_2,C17,5016.111111,0.273324924
C,D2-MU_3,C1,3739.666667,0.359758436
C,D2-MU_3,C15,2022.1875,0.194535791
C,D2-MU_3,C16,2171.545455,0.208904126
C,D2-MU_3,C17,2461.538462,0.236801647
B,D3-EV_1,C1,2778.333333,0.2257033
B,D3-EV_1,C15,3263.6875,0.265131988
B,D3-EV_1,C16,3012,0.244685666
B,D3-EV_1,C17,3255.65,0.264479046
B,D3-EV_2,C1,905.6666667,0.213938247
B,D3-EV_2,C15,1147.058824,0.270960346
B,D3-EV_2,C16,1036.833333,0.244922678
B,D3-EV_2,C17,1143.75,0.27017873
C,D3-MU_1,C1,3702.5,0.29976723
C,D3-MU_1,C15,2565.75,0.207732011
C,D3-MU_1,C16,2999,0.242809432
C,D3-MU_1,C17,3084,0.249691327
C,D3-MU_2,C1,4730,0.299671933
C,D3-MU_2,C15,3130,0.198302992
C,D3-MU_2,C16,3422.727273,0.2168489
C,D3-MU_2,C17,4501.2,0.285176175
C,D3-MU_3,C1,6320,0.31439169
C,D3-MU_3,C15,4099.3125,0.203922434
C,D3-MU_3,C16,4306,0.214204212
C,D3-MU_3,C17,5377,0.267481664
B,D4-EV_1,C1,2586.333333,0.209947476
B,D4-EV_1,C15,3104.9375,0.252045544
B,D4-EV_1,C16,3392.583333,0.275395402
B,D4-EV_1,C17,3235.1,0.262611579
B,D4-EV_2,C1,1331.333333,0.185058196
B,D4-EV_2,C15,1920.266667,0.266921195
B,D4-EV_2,C16,1851.083333,0.257304563
B,D4-EV_2,C17,2091.45,0.290716046
C,D4-MU_1,C1,4832,0.422869133
C,D4-MU_1,C15,2507.733333,0.219462545
C,D4-MU_1,C16,2484.636364,0.21744123
C,D4-MU_1,C17,1602.333333,0.140227092
C,D4-MU_2,C1,4561.5,0.290357616
C,D4-MU_2,C15,3061.3125,0.194864715
C,D4-MU_2,C16,3738.75,0.237986306
C,D4-MU_2,C17,4348.375,0.276791362
C,D4-MU_3,C1,4580,0.316355858
C,D4-MU_3,C15,3349.125,0.231335222
C,D4-MU_3,C16,4057.909091,0.2802933
C,D4-MU_3,C17,2490.333333,0.17201562
B,D5-EV_1,C1,1200.333333,0.261162589
B,D5-EV_1,C15,1188.090909,0.258498943
B,D5-EV_1,C16,1079.6,0.234894028
B,D5-EV_1,C17,1128.090909,0.24544444
B,D5-EV_2,C1,238.5,0.072557149
B,D5-EV_2,C15,1000.333333,0.304324255
B,D5-EV_2,C16,1075,0.327039561
B,D5-EV_2,C17,973.2307692,0.296079036
C,D5-MU_1,C1,200.5,0.399137359
C,D5-MU_1,C15,118.8333333,0.236562707
C,D5-MU_1,C17,183,0.364299934
C,D5-MU_2,C1,168,0.110953864
C,D5-MU_2,C15,391.4285714,0.258514954
C,D5-MU_2,C16,320,0.211340693
C,D5-MU_2,C17,634.7142857,0.41919049
C,D5-MU_3,C1,308,0.133608069
C,D5-MU_3,C15,486.75,0.211148465
C,D5-MU_3,C16,276.5,0.119943607
C,D5-MU_3,C17,1234,0.535299859
A,D1-C17_1,C17,2777.1,1
A,D1-C17_2,C17,1675.85,1
A,D2-C17_1,C17,3137.95,1
A,D2-C17_2,C17,2389.4,1
A,D3-C17_1,C17,830.9,1
A,D3-C17_2,C17,2871.9,1
A,D4-C17_1,C17,3070.6,1
A,D4-C17_2,C17,1707.9,1
A,D5-C17_1,C17,1658.45,1
A,D5-C17_2,C17,2023.157895,1